"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 03 13:48:22 CST 2023","Wed May 03 13:48:52 CST 2023","30013","Work.TestCase","TestCase","Test_zuojiazhuanqu","","","点击作品分类",""
"passed","Wed May 03 13:21:01 CST 2023","Wed May 03 13:21:04 CST 2023","3878","Work.TestCase","TestCase","Test_shouye","","","点击首页书籍",""
"passed","Wed May 03 14:30:24 CST 2023","Wed May 03 14:31:24 CST 2023","60006","Work.TestCase","TestCase","Test_shujiyuedu","","","点击作品分类",""
"passed","Wed May 03 14:14:24 CST 2023","Wed May 03 14:14:54 CST 2023","30015","Work.TestCase","TestCase","Test_yonghuxinxi","","","点击作品分类",""
"passed","Wed May 03 14:00:23 CST 2023","Wed May 03 14:00:53 CST 2023","30014","Work.TestCase","TestCase","Test_yonghuxinxi","","","点击作品分类",""
"passed","Wed May 03 13:19:45 CST 2023","Wed May 03 13:19:48 CST 2023","3395","Work.TestCase","TestCase","Test_not_login","","","未登录时进入书架",""
"passed","Wed May 03 13:22:12 CST 2023","Wed May 03 13:22:17 CST 2023","5280","Work.TestCase","TestCase","Test_quanbuzuopin","","","点击作品分类",""
"passed","Wed May 03 13:59:53 CST 2023","Wed May 03 14:00:23 CST 2023","30007","Work.TestCase","TestCase","Test_yonghuxinxi","","","点击作品分类",""
"passed","Wed May 03 13:19:52 CST 2023","Wed May 03 13:19:55 CST 2023","3114","Work.TestCase","TestCase","Test_not_login","","","未登录时进入作家专区模块",""
"passed","Wed May 03 13:20:57 CST 2023","Wed May 03 13:21:01 CST 2023","3445","Work.TestCase","TestCase","Test_shouye","","","点击首页书籍",""
"failed","Wed May 03 13:51:23 CST 2023","Wed May 03 13:51:53 CST 2023","30001","Work.TestCase","TestCase","Test_zuojiazhuanqu","","","点击作品分类",""
"passed","Wed May 03 13:34:52 CST 2023","Wed May 03 13:35:22 CST 2023","30010","Work.TestCase","TestCase","Test_chongzhi","","","点击作品分类",""
"passed","Wed May 03 13:55:23 CST 2023","Wed May 03 13:55:53 CST 2023","30011","Work.TestCase","TestCase","Test_zuojiazhuanqu","","","点击作品分类",""
"passed","Wed May 03 13:36:22 CST 2023","Wed May 03 13:36:52 CST 2023","30013","Work.TestCase","TestCase","Test_chongzhi","","","点击作品分类",""
"passed","Wed May 03 13:37:22 CST 2023","Wed May 03 13:37:52 CST 2023","30004","Work.TestCase","TestCase","Test_chongzhi","","","点击作品分类",""
"passed","Wed May 03 13:21:50 CST 2023","Wed May 03 13:21:55 CST 2023","5370","Work.TestCase","TestCase","Test_quanbuzuopin","","","点击作品分类",""
"passed","Wed May 03 13:49:23 CST 2023","Wed May 03 13:49:53 CST 2023","30006","Work.TestCase","TestCase","Test_zuojiazhuanqu","","","点击作品分类",""
"passed","Wed May 03 13:22:17 CST 2023","Wed May 03 13:22:23 CST 2023","6078","Work.TestCase","TestCase","Test_quanbuzuopin","","","点击是否完结",""
"passed","Wed May 03 14:18:54 CST 2023","Wed May 03 14:19:24 CST 2023","30002","Work.TestCase","TestCase","Test_yonghuxinxi","","","点击作品分类",""
"passed","Wed May 03 13:20:18 CST 2023","Wed May 03 13:20:28 CST 2023","10193","Work.TestCase","TestCase","Test_shouye","","","注册",""
"passed","Wed May 03 13:23:52 CST 2023","Wed May 03 13:24:22 CST 2023","30013","Work.TestCase","TestCase","Test_paihangbang","","","点击书籍的标题",""
"passed","Wed May 03 14:12:24 CST 2023","Wed May 03 14:12:54 CST 2023","30014","Work.TestCase","TestCase","Test_yonghuxinxi","","","点击作品分类",""
"passed","Wed May 03 14:07:23 CST 2023","Wed May 03 14:07:53 CST 2023","30006","Work.TestCase","TestCase","Test_yonghuxinxi","","","点击作品分类",""
"passed","Wed May 03 14:22:24 CST 2023","Wed May 03 14:23:24 CST 2023","60012","Work.TestCase","TestCase","Test_shujiyuedu","","","点击作品分类",""
"passed","Wed May 03 14:14:54 CST 2023","Wed May 03 14:15:24 CST 2023","30002","Work.TestCase","TestCase","Test_yonghuxinxi","","","点击作品分类",""
"passed","Wed May 03 14:09:53 CST 2023","Wed May 03 14:10:23 CST 2023","30008","Work.TestCase","TestCase","Test_yonghuxinxi","","","点击作品分类",""
"passed","Wed May 03 14:16:24 CST 2023","Wed May 03 14:16:54 CST 2023","30009","Work.TestCase","TestCase","Test_yonghuxinxi","","","点击作品分类",""
